graph	n_nodes	n_seeds	n_pos_eval	auprc	recall@k	precision@k	enrich_factor@k
string_graph_experimental.tsv	19699	4	543	0.341826	0.256169	0.695521	25.231407
fmppi_unsup_pll_M20_m10.tsv	19699	4	543	0.244913	0.192265	0.522064	18.937490
fm_sim_knn_M500_m20_row_softmax.tsv	19699	4	543	0.059910	0.046041	0.125282	4.533840
fm_sim_knn_M500_m20_cos_pos.tsv	19699	4	543	0.059207	0.046041	0.125123	4.533840
fmppi_unsup_pll_M10_m10.tsv	19699	4	543	0.198642	0.161326	0.438993	15.889471
fmppi_unsup_perturb_M40_m20.tsv	19699	4	543	0.193871	0.163536	0.444837	16.107998
gated_mix_pll.tsv	19699	4	543	0.287531	0.218047	0.592223	21.477708
reweight_pll.tsv	19699	4	543	0.347204	0.259853	0.711832	25.793879

